marker,article,previous,current,next,link
"(Lita et al., 2003)",W04-3237,Automatic capitalization can be seen as a sequence tagging problem: each lower-case word receives a tag that describes its capitalization form.,"Similar to the work in (Lita et al., 2003), we tag each word in a sentence with one of the tags:", LOC lowercase  CAP capitalized  MXC mixed case; no further guess is made as to the capitalization of such words.,http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Lita et al., 2003)",W04-3237,"2As with everything in natural language, it is not hard to find exceptions to this ""rule"".","Due to its popularity, both our work and that of (Lita et al., 2003) uses the 1-gram capitalizer as a baseline.","The work in (Kim and Woodland, 2004) indicates that the same 1-gram algorithm is used in Microsoft Word 2000 and is consequently used as a baseline for evaluating the performance of their algorithm as well.",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Kim and Woodland, 2004)",W04-3237,"Due to its popularity, both our work and that of (Lita et al., 2003) uses the 1-gram capitalizer as a baseline.","The work in (Kim and Woodland, 2004) indicates that the same 1-gram algorithm is used in Microsoft Word 2000 and is consequently used as a baseline for evaluating the performance of their algorithm as well.",2.2 Previous Work,http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Lita et al., 2003)",W04-3237,2.2 Previous Work,"We share the approach to capitalization as sequence tagging with that of (Lita et al., 2003).","In their approach, a language model is built on pairs (word, tag) and then used to disambiguate over all possible tag assignments to a sentence using dynamic programming techniques.",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Kim and Woodland, 2004)",W04-3237,"In their approach, a language model is built on pairs (word, tag) and then used to disambiguate over all possible tag assignments to a sentence using dynamic programming techniques.","The same idea is explored in (Kim and Woodland, 2004) in the larger context of automatic punctuation generation and capitalization from speech recognition output.","A second approach they consider for capitalization is the use a rule-based tagger as described by (Brill, 1994), which they show to outperform the case sensitive language modeling approach and be quite robust to speech recognition errors and punctuation generation errors.",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Brill, 1994)",W04-3237,"The same idea is explored in (Kim and Woodland, 2004) in the larger context of automatic punctuation generation and capitalization from speech recognition output.","A second approach they consider for capitalization is the use a rule-based tagger as described by (Brill, 1994), which they show to outperform the case sensitive language modeling approach and be quite robust to speech recognition errors and punctuation generation errors.","Departing from their work, our approach builds on a standard technique for sequence tagging, namely MEMMs, which has been successfully applied to part-of-speech tagging (Ratnaparkhi, 1996).",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Ratnaparkhi, 1996)",W04-3237,"A second approach they consider for capitalization is the use a rule-based tagger as described by (Brill, 1994), which they show to outperform the case sensitive language modeling approach and be quite robust to speech recognition errors and punctuation generation errors.","Departing from their work, our approach builds on a standard technique for sequence tagging, namely MEMMs, which has been successfully applied to part-of-speech tagging (Ratnaparkhi, 1996).","The MEMM approach models the tag sequence T conditionally on the word sequence W, which has a few substantial advantages over the 1-gram tagging approach:",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Lafferty et al., 2001)",W04-3237," discriminative training of probability model P(T|W) using conditional maximum likelihood is well correlated with tagging accuracy  ability to use a rich set of word-level features in a parsimonious way: sub-word features such as prefixes and suffixes, as well as future words3 are easily incorporated in the probability model  no concept of ""out-of-vocabulary"" word: subword features are very useful in dealing with words not seen in the training data  ability to integrate rich contextual features into the model","More recently, certain drawbacks of MEMM models have been addressed by the conditional random field (CRF) approach (Lafferty et al., 2001) which slightly outperforms MEMMs on a standard partof-speech tagging task.","In a similar vein, the work",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Collins, 2002)",W04-3237,"3Relative to the current word, whose tag is assigned a probability value by the MEMM.","of (Collins, 2002) explores the use of discriminatively trained HMMs for sequence labeling problems, a fair baseline for such cases that is often overlooked in favor of the inadequate maximum likelihood HMMs.","The work on adapting the MEMM model parameters using MAP smoothing builds on the Gaussian prior model used for smoothing MaxEnt models, as presented in (Chen and Rosenfeld, 2000).",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Chen and Rosenfeld, 2000)",W04-3237,"of (Collins, 2002) explores the use of discriminatively trained HMMs for sequence labeling problems, a fair baseline for such cases that is often overlooked in favor of the inadequate maximum likelihood HMMs.","The work on adapting the MEMM model parameters using MAP smoothing builds on the Gaussian prior model used for smoothing MaxEnt models, as presented in (Chen and Rosenfeld, 2000).","We are not aware of any previous work on MAP adaptation of MaxEnt models using a prior, be it Gaussian or a different one, such as the exponential prior of (Goodman, 2004).",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Goodman, 2004)",W04-3237,"The work on adapting the MEMM model parameters using MAP smoothing builds on the Gaussian prior model used for smoothing MaxEnt models, as presented in (Chen and Rosenfeld, 2000).","We are not aware of any previous work on MAP adaptation of MaxEnt models using a prior, be it Gaussian or a different one, such as the exponential prior of (Goodman, 2004).","Although we do not have a formal derivation, the adaptation technique should easily extend to the CRF scenario.",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Brill, 1994)",W04-3237,"Although we do not have a formal derivation, the adaptation technique should easily extend to the CRF scenario.","A final remark contrasts rule-based approaches to sequence tagging such as (Brill, 1994) with the probabilistic approach taken in (Ratnaparkhi, 1996): having a weight on each feature in the MaxEnt model and a sound probabilistic model allows for a principled way of adapting the model to a new domain; performing such adaptation in a rule-based model is unclear, if at all possible.",3 MEMM for Sequence Labeling,http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Ratnaparkhi, 1996)",W04-3237,"Although we do not have a formal derivation, the adaptation technique should easily extend to the CRF scenario.","A final remark contrasts rule-based approaches to sequence tagging such as (Brill, 1994) with the probabilistic approach taken in (Ratnaparkhi, 1996): having a weight on each feature in the MaxEnt model and a sound probabilistic model allows for a principled way of adapting the model to a new domain; performing such adaptation in a rule-based model is unclear, if at all possible.",3 MEMM for Sequence Labeling,http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Ratnaparkhi, 1996)",W04-3237,model is built.,"The approach we took is the one in (Ratnaparkhi, 1996), which uses xi(W, T i1 1 ) = {wi, wi1, wi+1, ti1, ti2}.","We note that the probability model is causal in the sequencing of tags (the probability assignment for ti only depends on previous tags ti1, ti2) which allows for efficient algorithms that search for the most likely tag sequence T(W) = arg maxT P(T |W) as well as ensures a properly normalized conditional probability model P(T|W).",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Berger et al., 1996)",W04-3237,"The probability P(ti|xi(W,T i1 1 )) is modeled using a maximum entropy model.","The next section briefly describes the training procedure; for details the reader is referred to (Berger et al., 1996).",3.1 Maximum Entropy State Transition Model,http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Chen and Rosenfeld, 2000)",W04-3237,3.1.2 Parameter Estimation,"The model parameters A are estimated such that the model assigns maximum log-likelihood to the training data subject to a Gaussian prior centered at 0, A  N(0, diag(u2i )), that ensures smoothing (Chen and Rosenfeld, 2000):","L(A) = E p(x, y)log pA(y|x) (1) x,y n P(T|W) = i=1 E Z(x, A) = y i 2' + const(A)i",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Chen and Rosenfeld, 2000)",W04-3237,"L(A) = E p(x, y)log pA(y|x) (1) x,y n P(T|W) = i=1 E Z(x, A) = y i 2' + const(A)i","As shown in (Chen and Rosenfeld, 2000) - and rederived in Appendix A for the non-zero mean case - the update equations are:","(t+1) i= (t) i+ i, where i satisfies: i p(x, y)fi(x, y)  = 2 i p(x)p(y|x)fi(x, y)exp(if#(x, y))",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Chen and Rosenfeld, 2000)",W04-3237,A simple way to accomplish this is to use MAP adaptation using a prior distribution on the model parameters.,"A Gaussian prior for the model parameters A has been previously used in (Chen and Rosenfeld, 2000) for smoothing MaxEnt models.","The prior has 0 mean and diagonal covariance: A  N(0, diag(2 i)).",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Pietra et al., 1995)",W04-3237,"F  i=1 E x,y i + (2) 2i E x,y F  i=1","ing (Pietra et al., 1995) between the background exponential model B - assumed fixed - and an exponential model A built using the Fbackground U Fadapt feature set.","It can be shown that, if we smooth the A model with a Gaussian prior on the feature weights that is centered at 0 - following the approach in (Chen and Rosenfeld, 2000) for smoothing maximum entropy models - then the MinDiv update equations for estimating A on the adaptation data are identical to the MAP adaptation procedure we proposed5.",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Chen and Rosenfeld, 2000)",W04-3237,"ing (Pietra et al., 1995) between the background exponential model B - assumed fixed - and an exponential model A built using the Fbackground U Fadapt feature set.","It can be shown that, if we smooth the A model with a Gaussian prior on the feature weights that is centered at 0 - following the approach in (Chen and Rosenfeld, 2000) for smoothing maximum entropy models - then the MinDiv update equations for estimating A on the adaptation data are identical to the MAP adaptation procedure we proposed5.","However, we wish to point out that the equivalence holds only if the feature set for the new model A is Fbackground U Fadapt.",http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
"(Paul and Baker, 1992)",W04-3237,5 Experiments,"The baseline 1-gram and the background MEMM capitalizer were trained on various amounts of WSJ (Paul and Baker, 1992) data from 1987 - files WS87_{001-126}.",The in-domain test data used was file WS94_000 (8.7kwds).,http://www.aclweb.org/anthology/W/W04/W04-3237.pdf
(2001),P13-1112,"The answer would probably be French or Spanish; the definite article is allowed to modify possessive pronouns in these languages, and the usage is sometimes negatively transferred to English writing.","Researchers such as Swan and Smith (2001), Aarts and Granger (1998), DavidsenNielsen and Harder (2001), and Altenberg and Tapper (1998) work on mother tongue interference to reveal overused/underused words, part of speech (POS), or grammatical items.","In contrast, very little is known about how strongly mother tongue interference is transferred to another language and about what relation there is across mother tongues.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1998),P13-1112,"The answer would probably be French or Spanish; the definite article is allowed to modify possessive pronouns in these languages, and the usage is sometimes negatively transferred to English writing.","Researchers such as Swan and Smith (2001), Aarts and Granger (1998), DavidsenNielsen and Harder (2001), and Altenberg and Tapper (1998) work on mother tongue interference to reveal overused/underused words, part of speech (POS), or grammatical items.","In contrast, very little is known about how strongly mother tongue interference is transferred to another language and about what relation there is across mother tongues.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(2001),P13-1112,"The answer would probably be French or Spanish; the definite article is allowed to modify possessive pronouns in these languages, and the usage is sometimes negatively transferred to English writing.","Researchers such as Swan and Smith (2001), Aarts and Granger (1998), DavidsenNielsen and Harder (2001), and Altenberg and Tapper (1998) work on mother tongue interference to reveal overused/underused words, part of speech (POS), or grammatical items.","In contrast, very little is known about how strongly mother tongue interference is transferred to another language and about what relation there is across mother tongues.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1998),P13-1112,"The answer would probably be French or Spanish; the definite article is allowed to modify possessive pronouns in these languages, and the usage is sometimes negatively transferred to English writing.","Researchers such as Swan and Smith (2001), Aarts and Granger (1998), DavidsenNielsen and Harder (2001), and Altenberg and Tapper (1998) work on mother tongue interference to reveal overused/underused words, part of speech (POS), or grammatical items.","In contrast, very little is known about how strongly mother tongue interference is transferred to another language and about what relation there is across mother tongues.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(2009),P13-1112,"A similar argument can be made about some parts of gender, tense, and aspect systems.","Besides, Wong and Dras (2009) show that there are no significant differences, between mother tongues, in the misuse of certain syntactic features such as subject-verb agreement that have different tendencies depending on their mother tongues.","Considering these, one could not be so sure which argument is correct.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Chodorow et al., 2010)",P13-1112,"One of the major contributions of this work is to reveal and visualize a language family tree preserved in non-native texts, by examining the hypothesis.","This becomes important in native language identification) which is useful for improving grammatical error correction systems (Chodorow et al., 2010) or for providing more targeted feedback to language learners.",As we will see in Sect.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Enright and Kondrak, 2011",P13-1112,"6, this paper reveals several crucial findings that contribute to improving native language identification.","In addition, this paper shows that the findings could contribute to reconstruction of language family trees (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005), which is one of the central tasks in historical linguistics.",The rest of this paper is structured as follows.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Gray and Atkinson, 2003",P13-1112,"6, this paper reveals several crucial findings that contribute to improving native language identification.","In addition, this paper shows that the findings could contribute to reconstruction of language family trees (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005), which is one of the central tasks in historical linguistics.",The rest of this paper is structured as follows.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Barbancon et al., 2007",P13-1112,"6, this paper reveals several crucial findings that contribute to improving native language identification.","In addition, this paper shows that the findings could contribute to reconstruction of language family trees (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005), which is one of the central tasks in historical linguistics.",The rest of this paper is structured as follows.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Batagelj et al., 1992",P13-1112,"6, this paper reveals several crucial findings that contribute to improving native language identification.","In addition, this paper shows that the findings could contribute to reconstruction of language family trees (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005), which is one of the central tasks in historical linguistics.",The rest of this paper is structured as follows.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Nakhleh et al., 2005)",P13-1112,"6, this paper reveals several crucial findings that contribute to improving native language identification.","In addition, this paper shows that the findings could contribute to reconstruction of language family trees (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005), which is one of the central tasks in historical linguistics.",The rest of this paper is structured as follows.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Beekes, 2011",P13-1112,2 Approach,"To examine the hypothesis, we reconstruct a language family tree from English texts written by non-native speakers of English whose mother tongue is one of the Indo-European languages (Beekes, 2011; Ramat and Ramat, 2006).","If the reconstructed tree is sufficiently similar to the original Indo-European family tree, it will support the hypothesis.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Ramat and Ramat, 2006)",P13-1112,2 Approach,"To examine the hypothesis, we reconstruct a language family tree from English texts written by non-native speakers of English whose mother tongue is one of the Indo-European languages (Beekes, 2011; Ramat and Ramat, 2006).","If the reconstructed tree is sufficiently similar to the original Indo-European family tree, it will support the hypothesis.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Han and Kamber, 2006)",P13-1112,"If not, it suggests that some features other than mother tongue interference are more influential.","The approach we use for reconstructing a language family tree is to apply agglomerative hierarchical clustering (Han and Kamber, 2006) to English texts written by non-native speakers.",Researchers have already performed related work on reconstructing language family trees.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1937),P13-1112,Researchers have already performed related work on reconstructing language family trees.,"For instance, Kroeber and Chrietien (1937) and Ellegard (1959) proposed statistical methods for measuring the similarity metric between languages.","More recently, Batagelj et al (1992) and Kita (1999) proposed methods for reconstructing language family trees using clustering.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1959),P13-1112,Researchers have already performed related work on reconstructing language family trees.,"For instance, Kroeber and Chrietien (1937) and Ellegard (1959) proposed statistical methods for measuring the similarity metric between languages.","More recently, Batagelj et al (1992) and Kita (1999) proposed methods for reconstructing language family trees using clustering.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1992),P13-1112,"For instance, Kroeber and Chrietien (1937) and Ellegard (1959) proposed statistical methods for measuring the similarity metric between languages.","More recently, Batagelj et al (1992) and Kita (1999) proposed methods for reconstructing language family trees using clustering.","Among them, the 'Recently, native language identification has drawn the attention of NLP researchers.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1999),P13-1112,"For instance, Kroeber and Chrietien (1937) and Ellegard (1959) proposed statistical methods for measuring the similarity metric between languages.","More recently, Batagelj et al (1992) and Kita (1999) proposed methods for reconstructing language family trees using clustering.","Among them, the 'Recently, native language identification has drawn the attention of NLP researchers.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1999),P13-1112,"For instance, a shared task on native language identification took place at an NAACL-HLT 2013 workshop.",most related method is that of Kita (1999).,"In his method, a variety of languages are modeled by their spelling systems (i.e., character-based n-gram language models).",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1985),P13-1112,"Then, agglomerative hierarchical clustering is applied to the language models to reconstruct a language family tree.",The similarity used for clustering is based on a divergence-like distance between two language models that was originally proposed by Juang and Rabiner (1985).,This method is purely data-driven and does not require human expert knowledge for the selection of linguistic features.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1992),P13-1112,This significant difference prevents us from directly applying techniques in the literature to our task.,"For instance, Batagelj et al (1992) use basic vocabularies such as belly in English and ventre in French to measure similarity between languages.","Obviously, this does not work on our task; belly is belly in English writing whoever writes it.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Kneser and Ney, 1995)",P13-1112,"Now, the language model Mi can be built from Di.","We set n = 3 (i.e., trigram language model) following Kita's work and use Kneser-Ney (KN) smoothing (Kneser and Ney, 1995) to estimate its conditional probabilities.","With Mi and Di, we can naturally apply Kita's method to our task.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Granger et al., 2009)",P13-1112,4 Experiments,"We selected the ICLE corpus v.2 (Granger et al., 2009) as the target language data.",It consists of English essays written by a wide variety of nonnative speakers of English.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Sugiura et al., 2007)",P13-1112,"Also, the symbols ' and ' were unified into '4.","For reference, we also used native English (British and American university students' essays in the LOCNESS corpus5) and two sets of Japanese English (ICLE and the NICE corpus (Sugiura et al., 2007)).",Table 1 shows the statistics on the corpus data.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Nagata et al., 2011)",P13-1112,Existing POS taggers might not perform well on non-native English texts because they are normally developed to analyze native English texts.,"Considering this, we tested CRFTagger6 on non-native English texts containing various grammatical errors before the experiments (Nagata et al., 2011).",It turned out that CRFTagger achieved an accuracy of 0.932 (compared to 0.970 on native texts).,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1997),P13-1112,Fig.1 shows the experimental results.,The tree at the top is the Indo-European family tree drawn based on the figure shown in Crystal (1997).,"It shows that the 11 languages are divided into three groups: Italic, Germanic, and Slavic branches.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Swan and Smith, 2001)",P13-1112,4.,"This corresponds to the fact that noun-noun compounds are less common in the Italic languages than in English and that instead, the of-phrase (NN of NN) is preferred (Swan and Smith, 2001).",For,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1996),P13-1112,Fig.,"5 shows that the average length roughly distinguishes the Italic Englishes from the other nonnative Englishes; French-English is the shortest, which is explained by the discussion above, while Dutch- and German-Englishes are longest, which may correspond to the fact that they have a preference for noun-noun compounds as Snyder (1996) argues.","For instance, German allows the concatenated form as in Orangensaft (equivalently orangejuice).",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(2009),P13-1112,6 Implications for Work in Related Domains,"Researchers including Wong and Dras (2009), Wong et al (2011; 2012), and Koppel et al (2005) work on native language identification and show that machine learning-based methods are effective.","Wong and Dras (2009) propose using information about grammatical errors such as errors in determiners to achieve better performance while they show that its use does not improve the performance, contrary to the expectation.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(2005),P13-1112,6 Implications for Work in Related Domains,"Researchers including Wong and Dras (2009), Wong et al (2011; 2012), and Koppel et al (2005) work on native language identification and show that machine learning-based methods are effective.","Wong and Dras (2009) propose using information about grammatical errors such as errors in determiners to achieve better performance while they show that its use does not improve the performance, contrary to the expectation.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(2009),P13-1112,"Researchers including Wong and Dras (2009), Wong et al (2011; 2012), and Koppel et al (2005) work on native language identification and show that machine learning-based methods are effective.","Wong and Dras (2009) propose using information about grammatical errors such as errors in determiners to achieve better performance while they show that its use does not improve the performance, contrary to the expectation.","Related to this, other researchers (Koppel and Ordan, 2011; van Halteren, 2008) show that machine learning-based methods can also predict the source language of a given translated text although it should be emphasized that it is a different task from native language identification because translation is not typically performed by non-native speakers but rather native speakers of the target language11.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Koppel and Ordan, 2011",P13-1112,"Wong and Dras (2009) propose using information about grammatical errors such as errors in determiners to achieve better performance while they show that its use does not improve the performance, contrary to the expectation.","Related to this, other researchers (Koppel and Ordan, 2011; van Halteren, 2008) show that machine learning-based methods can also predict the source language of a given translated text although it should be emphasized that it is a different task from native language identification because translation is not typically performed by non-native speakers but rather native speakers of the target language11.",The experimental results show that n-grams containing articles are predictive for identifying native languages.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"van Halteren, 2008)",P13-1112,"Wong and Dras (2009) propose using information about grammatical errors such as errors in determiners to achieve better performance while they show that its use does not improve the performance, contrary to the expectation.","Related to this, other researchers (Koppel and Ordan, 2011; van Halteren, 2008) show that machine learning-based methods can also predict the source language of a given translated text although it should be emphasized that it is a different task from native language identification because translation is not typically performed by non-native speakers but rather native speakers of the target language11.",The experimental results show that n-grams containing articles are predictive for identifying native languages.,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Koehn, 2011)",P13-1112,Fig.,"7 shows that the observed values in the FrenchEnglish data very closely fit the theoretical proba""For comparison, we conducted a pilot study where we reconstructed a language family tree from English texts in European Parliament Proceedings Parallel Corpus (Europarl) (Koehn, 2011).",It turned out that the reconstructed tree was different from the canonical tree (available at http: //web.hyogo-u.ac.jp/nagata/acl/).,http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Enright and Kondrak, 2011",P13-1112,"In the domain of historical linguistics, researchers have used computational and corpusbased methods for reconstructing language family trees.","Some (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005) apply clustering techniques to the task of language family tree reconstruction.","Others (Kita, 1999; Rama and Singh, 2009) use corpus statistics for the same purpose.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Gray and Atkinson, 2003",P13-1112,"In the domain of historical linguistics, researchers have used computational and corpusbased methods for reconstructing language family trees.","Some (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005) apply clustering techniques to the task of language family tree reconstruction.","Others (Kita, 1999; Rama and Singh, 2009) use corpus statistics for the same purpose.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Barbancon et al., 2007",P13-1112,"In the domain of historical linguistics, researchers have used computational and corpusbased methods for reconstructing language family trees.","Some (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005) apply clustering techniques to the task of language family tree reconstruction.","Others (Kita, 1999; Rama and Singh, 2009) use corpus statistics for the same purpose.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Batagelj et al., 1992",P13-1112,"In the domain of historical linguistics, researchers have used computational and corpusbased methods for reconstructing language family trees.","Some (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005) apply clustering techniques to the task of language family tree reconstruction.","Others (Kita, 1999; Rama and Singh, 2009) use corpus statistics for the same purpose.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Nakhleh et al., 2005)",P13-1112,"In the domain of historical linguistics, researchers have used computational and corpusbased methods for reconstructing language family trees.","Some (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005) apply clustering techniques to the task of language family tree reconstruction.","Others (Kita, 1999; Rama and Singh, 2009) use corpus statistics for the same purpose.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"(Kita, 1999",P13-1112,"Some (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005) apply clustering techniques to the task of language family tree reconstruction.","Others (Kita, 1999; Rama and Singh, 2009) use corpus statistics for the same purpose.","These methods reconstruct language family trees based on linguistic features that exist within words including lexical, phonological, and morphological features.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
"Rama and Singh, 2009)",P13-1112,"Some (Enright and Kondrak, 2011; Gray and Atkinson, 2003; Barbancon et al., 2007; Batagelj et al., 1992; Nakhleh et al., 2005) apply clustering techniques to the task of language family tree reconstruction.","Others (Kita, 1999; Rama and Singh, 2009) use corpus statistics for the same purpose.","These methods reconstruct language family trees based on linguistic features that exist within words including lexical, phonological, and morphological features.",http://www.aclweb.org/anthology/P/P13/P13-1112.pdf
(1993),W03-1717,"In the rest of this paper, we will present a learning procedure that learns those relations by processing a large corpus with a chart-filter, a treefilter and an LLR filter.","The approach is in the spirit of Smadja (1993) on retrieving collocations from text corpora, but is more integrated with parsing.",We will show in the evaluation section how much the learned knowledge can help improve sentence analysis.,http://www.aclweb.org/anthology/W/W03/W03-1717.pdf
"(Dunning, 1993)",W03-1717,"Secondly, those verbs tend not to occur in the modifier-head relation with a following noun and we gain very little in terms of disambiguation by storing those pairs in the knowledge base.","To prune away those pairs, we used the log-likelihood-ratio algorithm (Dunning, 1993) to compute the degree of association between the verb and the noun in each pair.","Pairs where there is high ""mutual information"" between the verb and noun would receive higher scores while pairs where the verb can co-occur with many different nouns would receive lower scores.",http://www.aclweb.org/anthology/W/W03/W03-1717.pdf
"me Traitement Automatique des Langues Naturelles, Marseille, 2014",W14-6700,,"21me Traitement Automatique des Langues Naturelles, Marseille, 2014",Actes de l'atelier  Reseaux Lexicaux et Traitement des Langues Naturelles.,http://www.aclweb.org/anthology/W/W14/W14-6700.pdf
"(Barrat, 2008, ",W14-6700,"Parallelement  l'evolution des ressources lexicales, on a pu observer une explosion de travaux portant sur les graphes (graphes complexes, phenomene 'petit monde', etc.).","Ces derniers semblent se preter  merveille  la modelisation de nombreux domaines (Barrat, 2008, Barabsi, 2003) y compris la langue.","En effet, il y a eu de nombreux travaux montrant leur pertinence pour capter le sens des mots et celui des phrases (Bieman, 2012; Mihalcea et Radev, 2011; Widdows, 2004; Sowa, 1991) ou pour modeliser divers aspects du  monde  lexical : structures associatives (Schvaneveldt, 1989, Nelson et al., 1998), structure du dictionnaire (Gaume et al.",http://www.aclweb.org/anthology/W/W14/W14-6700.pdf
"Barabsi, 2003)",W14-6700,"Parallelement  l'evolution des ressources lexicales, on a pu observer une explosion de travaux portant sur les graphes (graphes complexes, phenomene 'petit monde', etc.).","Ces derniers semblent se preter  merveille  la modelisation de nombreux domaines (Barrat, 2008, Barabsi, 2003) y compris la langue.","En effet, il y a eu de nombreux travaux montrant leur pertinence pour capter le sens des mots et celui des phrases (Bieman, 2012; Mihalcea et Radev, 2011; Widdows, 2004; Sowa, 1991) ou pour modeliser divers aspects du  monde  lexical : structures associatives (Schvaneveldt, 1989, Nelson et al., 1998), structure du dictionnaire (Gaume et al.",http://www.aclweb.org/anthology/W/W14/W14-6700.pdf
"(Bieman, 2012",W14-6700,"Ces derniers semblent se preter  merveille  la modelisation de nombreux domaines (Barrat, 2008, Barabsi, 2003) y compris la langue.","En effet, il y a eu de nombreux travaux montrant leur pertinence pour capter le sens des mots et celui des phrases (Bieman, 2012; Mihalcea et Radev, 2011; Widdows, 2004; Sowa, 1991) ou pour modeliser divers aspects du  monde  lexical : structures associatives (Schvaneveldt, 1989, Nelson et al., 1998), structure du dictionnaire (Gaume et al.","2008), densitd lexicale, distance moyenne entre les mots (Vitevitch, 2008), accessibilitd (Ferrer i Cancho & Sole, 2001), aspects dynamiques des graphes (Dion, 2012), etc.",http://www.aclweb.org/anthology/W/W14/W14-6700.pdf
