marker,article,previous,current,next,link
(1987),Q14-1008,"Lexical stress is the ""accentuation of syllables within words"" (Cutler, 2005) and has long been argued to play an important role in adult word recognition.","Following Cutler and Carter (1987)'s observation that stressed syllables tend to occur at the beginnings of words in English, Jusczyk et al (1993) investigated whether infants acquiring English take advantage of this fact.","Their study demonstrated that this is indeed the case for 9 month olds, although they found no indication of using stressed syllables as cues for word boundaries in 6 month olds.",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
(2004),Q14-1008,"They only reported a word-token f-score of 44% (roughly, segmentation accuracy: see Section 4), which is considerably below the performance of subsequent models, making a direct comparison complicated.",Yang (2004) introduced a simple incremental algorithm that relies on stress by embodying a Unique Stress Constraint (USC) that allows at most a single stressed syllable per word.,"On pre-syllabified child directed speech, he reported a word token fscore of 85.6% for a non-statistical algorithm that exploits the USC.",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
"(2010, 2011, 2012)",Q14-1008,"While the USC has been argued to be near-to-universal and follows from the ""culminative function of stress"" (Fromkin, 2001; Cutler, 2005), the high score Yang reported crucially depends on every word token carrying stress, including function words.","More recently, Lignos (2010, 2011, 2012) further explored Yang's original algorithm, taking into account that function words should not be assumed to possess lexical stress cues.","While his scores are in line with those reported by Yang, the importance of stress for this learner were more modest, providing a gain of around 2.5% (Lignos, 2011).",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
(2013),Q14-1008,This allows the model to acquire knowledge about the stress patterns of its input by assigning different probabilities to the different stress-templates.,"However, Doyle and Levy (2013) do not directly examine the probabilities assigned to the stress-templates; they only report that their model does slightly prefer stress-initial words over the baseline model by calculating the fraction of stress-initial word types in the output segmentations of their models.","They also demonstrate that stress cues do indeed aid segmentation, although their reported gain of 1% in token f-score is even smaller than that reported by Lignos (2011).",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
(2009),Q14-1008,"We give an intuitive description of the mathematical background of Adaptor Grammars in 3.1, referring the reader to Johnson et al (2007) for technical details.","The models we examine are derived from the collocational model of Johnson and Goldwater (2009) by varying three parameters, resulting in 6 models: two baselines that do not take advantage of stress cues and either do or do not use phonotactics, as described in Section 3.2; and four stress models that differ with respect to the use of phonotactics, and as to whether they embody the Unique Stress Constraint introduced by Yang (2004).",We describe these models in section 3.3.,http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
"(Jusczyk et al., 1993)",Q14-1008,"In order for stress cues to be helpful, the model must have some way of associating the position of stress with word-boundaries.","Intuitively, the reason stress helps infants in segmenting English is that a stressed syllable is a reliable indicator of the beginning of a word (Jusczyk et al., 1993).","More generally, if there is a (reasonably) reliable relationship between the position of stressed syllables and beginnings (or",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
(2013),Q14-1008,This (partly) captures the tendency of English for stress-initial words and thus provide an additional cue for identifying words; and it is exactly the kind of preference infant learners of English seem to acquire (Jusczyk,"3This is, in essence, also the strategy chosen by Doyle and Levy (2013).",96,http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
"(Yang, 2004)",Q14-1008,This yields the colloc3-phon-stress model.,"We can also add the Unique Stress Constraint (USC) (Yang, 2004) by excluding all variants of rule (18) that generate two or more stressed syllables.","For example, while the lexical generator for the colloc3-nophon-stress model will include the rule Word  SSyll SSyll, the lexical generator embodying the USC lacks this rule.",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
"(Bernstein-Ratner, 1987",Q14-1008,"As function words account for roughly 50% of the tokens but only roughly 5% of the types in our corpora, this means that the type and token distribution of stress patterns differs dramatically in all our corpora, as can be seen from Table 2.","We also added stress information to the BrentBernstein-Ratner corpus (Bernstein-Ratner, 1987; Brent, 1999), following the procedure just outlined.",This corpus is a de-facto standard for evaluat,http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
(2013),Q14-1008,"For example, languages such as French lack lexical stress; it would be interesting to know whether in such a case, phonotactic (or other) cues are more important.","Relatedly, recent work such as Borschinger et al (2013) has found that artificially created data often masks the complexity exhibited by real speech.","This suggests that future work should use data directly derived from the acoustic signal to account for contextual effects, rather than using dictionary look-up or other heuristics.",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
(1998),Q14-1008,4.1 Corpora and corpus creation,"Following Christiansen et al (1998) and Doyle and Levy (2013), we use the Korman corpus (Korman, 1984) as one of our corpora.","It comprises childdirected speech for very young infants, aged between 6 and 16 weeks and, like all other corpora used in this paper, is available through the CHILDES database (MacWhinney, 2000).",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
"(Demuth et al., 2006",Q14-1008,"ing models of Bayesian word segmentation (Brent, 1999; Goldwater, 2007; Goldwater et al., 2009; Johnson and Goldwater, 2009), comprising in total 9790 utterances.","As our third corpus, we use the Alex portion of the Providence corpus (Demuth et al., 2006; Borschinger et al., 2012).",A major benefit of the Providence corpus is that the video-recordings from which the transcripts were produced are available through CHILDES alongside the transcripts.,http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
(2009),Q14-1008,"Alternatively, one could limit the models ability to capture word-to-word dependencies by removing rules (1) to (3).",This results 2We follow Johnson and Goldwater (2009) in limiting the length of possible words to four syllables to speed up runtime.,"In pilot experiments, this choice did not have a noticeable effect on segmentation performance.",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
(1998),Q14-1008,"Our version of the Korman corpus contains, in total, 11413 utterances.","Unlike Christiansen et al (1998), Yang (2004), and Doyle and Levy (2013), we follow Lignos and Yang (2010) in making the more realistic assumption that the 94 mono-syllabic function words listed by Selkirk (1984) never surface with lexical stress.","As function words account for roughly 50% of the tokens but only roughly 5% of the types in our corpora, this means that the type and token distribution of stress patterns differs dramatically in all our corpora, as can be seen from Table 2.",http://www.aclweb.org/anthology/Q/Q14/Q14-1008.pdf
[1949],J11-2002,"If a language has suffixing and/or prefixing-sometimes called concatenative morphology-it obviously follows that text words in that language can be segmented into a sequence of morphological elements: a stem and a number of suffixes after the stem and/or prefixes before the stem.1 Morphology is one of the oldest linguistic subdisciplines, and this brief presentation by necessity omits many intricacies and greatly simplifies a vast scholarship.","(For standard, in-depth, introductions to this fascinating field, see, e.g., Nida [1949], Jensen [1990], Spencer and Zwicky [1998], or Haspelmath [2002].)","In language technology applications, a morphological component forms a bridge between texts and structured information about the vocabulary of a language.",http://www.aclweb.org/anthology/J/J11/J11-2002.pdf
(1965b),J11-2002,"The initial suffix candidate, -oj, has a high functional load and consequently a high text frequency: It is the most ambiguous of the Russian adjective suffixes, appearing in four different slots in the adjective paradigm, and is also homonymous with a noun suffix.","In Andreev (1965b) the method is tested extensively on Russian, which is the subject of several papers in the volume, and a number of other languages: Albanian (Persikov 1965), Armenian (Melkumjan 1965), Bulgarian (Fedulova 1965), Czech (Ozigova 1965), English (Malahovskij 1965), Estonian (Hol'm 1965), French (Kordi 1965), German (Fitialova 1965), Hausa (Fihman 1965a), Hungarian (Andreev 1965a), Latvian (Jakubajtis 1965), Serbo-Croatian (Panina 1965), Swahili (Fihman 1965b), Ukrainian (Eliseeva 1965), and Vietnamese (Jakuseva 1965).","As an aside, we may note that only after the turn of the millennium are we again seeing this variety of languages in ULM work.",http://www.aclweb.org/anthology/J/J11/J11-2002.pdf
"a, 2005b, ",J11-2002,"Harris 1955, 1968, 1970 C T English Segmentation Andreev 1965a, Andreev 1967, C T Vietnamese to Segmentation Chapter 2, Persikov 1965; Hungarian (I) Melkumjan 1965; Fedulova 1965; Ozigova 1965; Malahovskij 1965; Hol'm 1965; Kordi 1965; Fitialova 1965; Fihman 1965a; Andreev 1965a; Jakubajtis 1965; Panina 1965; Fihman 1965b; Eliseeva 1965; Jakuseva 1965 Gammon 1969 C T English Segmentation Lehmann 1973, pages 71-93 C T French (I) Segmentation de Kock and Bossaert 1969, 1974, C T French/Spanish Lexicon+ Paradigms 1978 Faulk and Gustavson 1990 C T English (I) Segmentation Hafer and Weiss 1974 C T English (IR) Segmentation Klenk and Langer 1989 C T+SP German Segmentation Langer 1991 C T+SP German Segmentation Redlich 1993 C T English (I) Segmentation Klenk 1992, 1991 C T+SP Spanish Segmentation Flenner 1992, 1994, 1995 C T+SP Spanish Segmentation Janen 1992 C T+SP French Segmentation Juola, Hall, and Boggs 1994 C T English Segmentation Brent 1993, 1999; Brent, Murthy, C T English/Child- Segmentation and Lundberg 1995; Snover 2002; English/Polish/ Snover, Jarosz, and Brent 2002; French Snover and Brent 2001, 2003 Deligne and Bimbot 1997; Deligne C T English/French (I) Segmentation 1996 Yvon 1996 C T French (I) Segmentation Kazakov 1997; Kazakov and C T French/English Segmentation Manandhar 1998, 2001 Jacquemin 1997 C T English Segmentation Cromm 1997 C T German Segmentation Gaussier 1999 C T French/English (I) Lexicon+ Paradigms Dejean 1998a, 1998b C T Turkish/English/ Affix Lists Korean/French/ Swahili/ Vietnamese (I) Medina Urrea 2000, 2003, 2006b C T Spanish Affix List Schone and Jurafsky 2000, 2001a; C T English Segmentation Schone 2001 Goldsmith 2000, 2001, 2006; Belkin C T English (I) Lexicon+ Paradigms and Goldsmith 2002; Goldsmith, Higgins, and Soglasnova 2001; Hu et al.","2005b; Xanthos, Hu, and Goldsmith 2006 Baroni 2000, 2003 C T Child-English/ Affix List English Cho and Han 2002 C T Korean Segmentation Sharma, Kalita, and Das 2002, 2003; C T Assamese Lexicon+ Paradigms Sharma and Das 2002 Baroni, Matiasek, and Trost 2002 C/NC T English/German (I) Related word pairs Bati 2002 C/NC T Amharic Lexicon+ Paradigms Creutz 2003, 2006; Creutz and C T Finnish/Turkish/ Segmentation Lagus 2002, 2004, 2005a, 2005b, English 2005c, 2007; Creutz, Lagus, and Virpioja 2005; Hirsimaki et al.",2003; Creutz et al.,http://www.aclweb.org/anthology/J/J11/J11-2002.pdf
"a, 2002b",J11-2002,2005; Hu et al.,"2005a C/NC T Unclear Unclear Bacchin, Ferro, and Melucci 2005, C T Italian/English Segmentation 2002a, 2002b; Nunzio et al.","2004 Oliver 2004, Chapter 4-5 C T Catalan Paradigms Bordag 2005a, 2005b, 2007, 2008 C T English/German Segmentation Hammarstrom 2005, 2006a, 2006b, C - Maori to Warlpiri Same-stem 2007b, 2009a, 2009b Bernhard 2005a, 2005b, 2006, 2007, C T Finnish/Turkish/English Segmentation+ 2008 Related sets of words Keshava and Pitler 2005 C T Finnish/Turkish/English Segmentation Johnsen 2005 C T Finnish/Turkish/English Segmentation Atwell and Roberts 2005 C T Finnish/Turkish/English Segmentation Dang and Choudri 2005 C T Finnish/Turkish/English Segmentation ur Rehman and Hussain 2005 C T Finnish/Turkish/English Segmentation Jordan, Healy, and Keselj 2005, 2006 C T Finnish/Turkish/English Segmentation Goldwater, Griffiths, and Johnson C T English/Child-English Segmentation 2005; Goldwater 2007; Naradowsky and Goldwater 2009 Freitag 2005 C T English Segmentation Golcher 2006 C - English/German Lexicon+ Paradigms Arabsorkhi and Shamsfard 2006 C T Persian Segmentation Chan 2006, Chan 2008, C T English Paradigms pages 101-139 Demberg 2007 C/NC T English/German/ Segmentation Finnish/Turkish Dasgupta and Ng 2006, 2007a; C T Bengali Segmentation 2007b; Dasgupta 2007 De Pauw and Wagacha 2007 C/NC T Gikuyu Segmentation Tepper 2007; Tepper and Xia 2008 C/NC T+RR English/Turkish Analysis Xanthos 2007 NC T Arabic Lexicon+ Paradigms Majumder et al.",http://www.aclweb.org/anthology/J/J11/J11-2002.pdf
(2009),J11-2002,"Xanthos (2007), on the other hand, starts out only by assuming that there exists a distinction between root and pattern graphemes and subsequently learns which graphemes are which.",See Goldsmith and Xanthos (2009) for an excellent survey on how to do this (something which falls under learning phonological categories rather than morphology learning).,"Basically, it is possible only because there are systematic combination constraints between different phonemes (approximated by graphemes); for example, vowels and consonants alternate in a very non-random manner.",http://www.aclweb.org/anthology/J/J11/J11-2002.pdf
(2007),J11-2002,The recent increased interest in Bayesian generative models in general in NLP may possibly serve as a catalyst.,"In the group-and-abstract paradigm, working with feature sets of a word, as in De Pauw and Wagacha (2007), is an ingenious generalization that holds numerous advantages over string edit distances.","Feature set comparisons are naturally defined over arbitrary collections, whereas string edit distances work on pairs of strings.",http://www.aclweb.org/anthology/J/J11/J11-2002.pdf
"Berry and Jessup, 1999)",P00-1072,"Now, we suggest 21n other words, the projection into the reduced space is chosen such that the representations in the original space are changed as little as possible when measured by the sum of the squares of the differences.","One can prove that Ak is the best approximation to A for any unitray invariant norm(Michael W. Berry and Jessup, 1999) three variant probability estimation methods in dimension-reduced space.",First is estimating p(y Ix) by computing distance between given word x and predicting word y in reduced space.,http://www.aclweb.org/anthology/P/P00/P00-1072.pdf
"(Dagan et al., 1999)",P00-1072,(k = 3) (dim = 2) (6 = 0.1) (0 = 0) P(swig I coffee) 0 0.09 0 0.1627 0.0756 0.11 P(sip I coffee) 1 1 1 0.2425 0.5536 1 P(drink I coffee) 0 0.18 0.17 0.2359 0.1932 0.28 P(devour I coffee) 0 0.18 0.11 0.1271 0.0726 0.11 P(eat I coffee) 0 0.18 0.11 0.1159 0.0526 0 P(swallow I coffee) 0 0.18 0.11 0.1159 0.0526 0 2.3.3 Method 3: Dimension-reduced similarity-based method,"The similarity-based method(Dagan et al., 1999) and dimension reduction technique can be merged into one model 3 .",Reduced dimension can be better representation space than the original space for finding similarities between words.,http://www.aclweb.org/anthology/P/P00/P00-1072.pdf
"(Dagan et al., 1999)",P00-1072,"Each method is presented with a noun and two verbs, deciding which verb is more likely to have the noun as a direct object.","Data preparation method and error counting scheme are almost similar to that of similarity-based methods (Dagan et al., 1999) (Lee and Pereira, 1999).","Performance is measured by the error rate, defined as error rate = T-1(0 of incorrect choices) where T is the size of test set.",http://www.aclweb.org/anthology/P/P00/P00-1072.pdf
"(Lee and Pereira, 1999)",P00-1072,"Pd(Yilxi) frq(xi, yi) > 0 cx(xi) P(yi) frq(xi,yi) = 0","For similarity-based method, the parameter tuning is important to improve performance but we use the simplified unweighted average equation as in (Lee and Pereira, 1999) 6 .","Since this equation is the same as our estimation method in Section 2.3.3, we can say that the comparison is fair.",http://www.aclweb.org/anthology/P/P00/P00-1072.pdf
"Donnell et al., 2001)",W11-2820,Adaptive interfaces change the style and content of interaction according to the context of use.,"In particular, adaptive hypertext (O'Donnell et al., 2001) adapts the content and form of natural language text.",Systems like this introduce the need for a good model of the context and how it influences language.,http://www.aclweb.org/anthology/W/W11/W11-2820.pdf
"(Brickley and Miller, 2010)",W11-2820,The user's social context.,"In the VRE, the link between the social network and digital artifacts is established formally, by the integration of the FOAF social networking vocabulary (Brickley and Miller, 2010) with our provenance ontologies.","FOAF characterises an individual and their social network by defining a vocabulary describing people, the links between them and the things they create and do.",http://www.aclweb.org/anthology/W/W11/W11-2820.pdf
(2010),W11-2820,"In order to generate the text, we have implemented a RESTful service that invokes a Text Generator service based on the RDF ID of the resource being described, passed as a parameter by the Web interface.","This service generates text containing a description of the resource using a deep model of the syntactic structure of sentences and their combinations, inspired by the work of Hielkema (2010).",VRE User Interface User Core Services Social Networking Metadata Repository Policy Policy Manager Text Interface,http://www.aclweb.org/anthology/W/W11/W11-2820.pdf
(2010),W11-2820,"Using such a strategy, the Policy Manager would be able to determine how to prioritise conflicting policies applying to a particular resource.","To determine if two policies may conflict, we plan to use a conflict detection mechanism similar to the one proposed by Sensoy et al (2010).","Moreover regarding usability, we need to implement a system that would allow users to easily create SPIN rules representing their policies, possibly using a NLG interface.",http://www.aclweb.org/anthology/W/W11/W11-2820.pdf
"(Clark and Lavie, 2010)",W11-2143,"Decoding was carried out in Joshua (Li et al., 2009), an open-source framework for parsing-based MT.","We managed our experiments with LoonyBin (Clark and Lavie, 2010), an open-source tool for defining, modifying, and running complex experimental pipelines.",We describe our system-building process in more detail in Section 2.,http://www.aclweb.org/anthology/W/W11/W11-2143.pdf
"(Stolcke, 2002)",W11-2143,The final prepared corpus was made up of approximately 1.8 billion words of running text.,"We built a 5-gram language model from it with the SRI language modeling toolkit (Stolcke, 2002).","To match the treatment given to the training data, the language model was also built in mixed case.",http://www.aclweb.org/anthology/W/W11/W11-2143.pdf
(2010),W11-2143,"Our BLEU score improvements of 1.2 to 1.9 points are statistically significant according to the paired bootstrap resampling method (Koehn, 2004) with n = 1000 and p < 0.01.",They are also larger than the 0.7- to 1.1-point gains reported by Pino et al (2010) when the full Giga-FrEn was added.,"The 2011 system also shows a significant reduction in the out-of-vocabulary (OOV) rate on both test sets: 38% and 47% fewer OOV types, and 44% and 45% fewer OOV tokens, when compared to the 2010 system.",http://www.aclweb.org/anthology/W/W11/W11-2143.pdf
"(Hanneman et al., 2010)",W11-2143,This is our fourth yearly submission to the WMT shared translation task.,"In design and construction, the system is similar to our submission from last year's workshop (Hanneman et al., 2010), with changes in the methods we employed for training data selection and SCFG filtering.","Continuing WMT's general trend, we worked with more data than in previous years, basing our 2011 system on 13.9 million sentences of parallel French-English training data and an English language model of 1.8 billion words.",http://www.aclweb.org/anthology/W/W11/W11-2143.pdf
"(Petrov and Klein, 2007)",W11-2143,"Unidirectional word alignments were provided by MGIZA++ (Gao and Vogel, 2008), then symmetrized with the grow-diag-final-and heuristic (Koehn et al., 2005).","For generating parse trees, we used the French and English grammars of the Berkeley statistical parser (Petrov and Klein, 2007).","Except for minor bug fixes, our method for extracting and scoring a translation grammar remains the same as in our WMT 2010 submission.",http://www.aclweb.org/anthology/W/W11/W11-2143.pdf
"(McCallum, 2002)",P10-2063,"The classifier is used only to get solutions for the openclass words, although we wish to give the classifier all the words for the sentence.","The cross-product of the stem name and (open-class) reduced core POS tags, plus the CLOSED tag, yields 24 labels for a CRF classifier in Mallet (McCallum, 2002).",4 Experiments and Evaluation,http://www.aclweb.org/anthology/P/P10/P10-2063.pdf
"(Diab et al., 2007",P10-2063,"1SAMA-v3.1 is an updated version of BAMA, with many significant differences in analysis.","In contrast, other approaches have used a pipelined approach, with separate models to first do tokenization and then part-of-speech tagging (Diab et al., 2007; Diab, 2009).","While these approaches have somewhat lower performance than the joint approach, they have the advantage that they do not rely on the presence of a full-blown morphological analyzer, which may not always be available or appropriate as the data shifts to different genres or Arabic dialects.",http://www.aclweb.org/anthology/P/P10/P10-2063.pdf
"(Roth et al., 2008)",P10-2063,"However, both (Habash and Rambow, 2005; Diab et al., 2007) assume gold tokenization for evaluation of POS results, which we do not.","The ""MorphPOS"" task in (Roth et al., 2008), 96.4%, is somewhat similar to ours in that it scores on a ""core tag"", but unlike for us there is only one such tag for a source token (easier) but it distinguishes between NOUN and ADJ (harder).",We would like to do a direct comparison by simply runing the above systems on the exact same data and evaluating them the same way.,http://www.aclweb.org/anthology/P/P10/P10-2063.pdf
"(Moore and Quirk, 2008)",W12-3159,"Recent efforts extended MERT to work on lattices (Macherey et al., 2008) and hypergraphs (Kumar et al., 2009).","Random restarts and random walks (Moore and Quirk, 2008) are commonly used to combat the fact the search space is highly non-convex, often with multiple minima.","Several problems still remain with MERT, three of which are addressed by this work.",http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
"(Chang and Collins, 2011)",W12-3159,"First, the Nbest error surface explored by MERT is generally not the same as the true error surface, which means that the error rate at an optimum1 of the N-best error surface is not guaranteed to be any close to an optimum of the true error surface.","Second, most SMT decoders make search errors, yet MERT ignores the fact that the error surface of an error-prone decoder differs from the one of an exact decoder (Chang and Collins, 2011).","MERT calculates an envelope from candidate translations and assumes all translations on the envelope are reachable by the decoder, but these translations may become unreachable due to search errors.",http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
"(Helder and Mead, 1965)",W12-3159,"which takes source sentences and a set of weights as inputs, and outputs the evaluation score (e.g., BLEU score) computed on the decoded sentences.","Since it is impractical to calculate derivatives of this function, we use derivative-free optimization methods such as the downhill simplex method (Helder and Mead, 1965) and Powell's method (Powell, 1964), which generally handle such difficult search conditions relatively well.",This approach confers several benefits over MERT.,http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
"(Moore and Lee, 1994)",W12-3159,"In this paper, we make direct search reasonably fast thanks to two speedup techniques.","First, we use a model selection acceleration technique called racing (Moore and Lee, 1994) in conjunction with randomization tests (Riezler and Maxwell, 2005) to avoid decoding the entire development set at each function evaluation.",This approach discards the current model whenever performance on the translated subset of the development data is deemed significantly worse in comparison to the current best model.,http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
"(Maron and Moore, 1994",W12-3159,"Prior to considering the SMT case, we review one of these methods in the case of leave-one-out cross validation (LOOCV).","Racing for model selection (Maron and Moore, 1994; Moore and Lee, 1994) works as follows: we are given a collection of N,,t models and Nd data points, and we must find the  model that minimizes the mean e j = 1 i ej(i),",Nd,http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
(1994),W12-3159,"The models are evaluated concurrently, and at any given step k E [1, Nd], each model Mj is associated with two pieces of information: the current estimate of its mean error rate, and the estimate of its variance.","As evaluations progress, we eliminate any model that is significantly worse than any other model.3 We also note that the Racing technique first randomizes the order of the data points to ensure that prefixes of the dataset are gen3The details of these statistical tests are not so important here since we use different ones in the case of SMT, but we briefly summarize them as follows: Maron and Moore (1994) use a non-parametric method (Hoeffding bounds (Hoeffding, 1963)) for confidence estimation, and places confidence intervals on the mean value of the random variable representing ej(i).",A model is discarded if its confidence interval no longer overlaps with the confidence interval of the current best model.,http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
"(Och et al., 1999)",W12-3159,5.2 Lattice-based decoding,"We use another technique to speed up direct search by storing and re-using search graphs, which consist of lattices in the case of phrase-based decoding (Och et al., 1999) and hypergraphs in the case of hierarchical decoding (Chiang, 2005).","The successive expansion of translation options in order to construct the search graph is generally done from scratch, but this can be wasteful when the same sentences are translated multiple times, as it is the case with direct search.",http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
"(Koehn et al., 2007)",W12-3159,6.1 Setup,"For our experiments, we use a phrase-based translation system similar to Moses (Koehn et al., 2007).","Our decoder uses many of the same features as Moses, including four phrasal and lexicalized translation scores, phrase penalty, word penalty, a language model score, linear distortion, and six lexicalized reordering scores.",http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
"(Riezler and Maxwell, 2005)",W12-3159,"In SMT, it is common to use either bootstrap resampling (Efron and Tibshirani, 1993; Och, 2003) or randomization tests (Noreen, 1989).","In this paper, we use the randomization test for discarding unpromising models, since this statistical test was shown to be less likely to cause type-I errors6 than bootstrap methods (Riezler and Maxwell, 2005).","Since both kinds of statistical tests involve a time-consuming sampling step, it 4Since Racing only discards suboptimal models, the current best model M* is one for which we have decoded the entire development set.",http://www.aclweb.org/anthology/W/W12/W12-3159.pdf
"(Ren et al., 2014)",D14-1114,"(Tan et al., 2012) encode intent in language models, aware of long-lasting interests.","(Ren et al., 2014) uses an unsupervised heterogeneous clustering.","(Yin and Shah, 2010) capture generic intents around a certain named entities and model their relationships in a tree taxonomy and (Wang et al., 2009) mine broad latent modifiers of intent aspect , which are similar to our motivation, while we model more than intent phrases, but intent topics.",http://www.aclweb.org/anthology/D/D14/D14-1114.pdf
"(Yamamoto et al., 2012)",D14-1114,"Quite an amount of work leverage query logs (Jiang et al., 2013), including query reformulations (Radlinski et al., 2010), click-through data (Li et al., 2008).","There are also works using sponsered data (Yamamoto et al., 2012) and interactive data (Ruotsalo et al., 2013).",The new trend of integrating knowledge graph will be discussed next.,http://www.aclweb.org/anthology/D/D14/D14-1114.pdf
"(Ren et al., 2014)",D14-1114,"(Pantel et al., 2012) models latent intent to mine entity type distributions.","(Ren et al., 2014) utilizes knowledge graph resources in a hetrogeneous view.","(Lin et al., 2012) also pays attention to refiners, but restricted to limited domains, while our method is more general.",http://www.aclweb.org/anthology/D/D14/D14-1114.pdf
"(Yin and Shah, 2010)",D14-1114,"(Ren et al., 2014) uses an unsupervised heterogeneous clustering.","(Yin and Shah, 2010) capture generic intents around a certain named entities and model their relationships in a tree taxonomy and (Wang et al., 2009) mine broad latent modifiers of intent aspect , which are similar to our motivation, while we model more than intent phrases, but intent topics.","We do not split queries into clusters or subtopics relevant to the original query to indicate a intent, but link them in an graph with intent feature similarity, weakly or strongly, in a holistical view.",http://www.aclweb.org/anthology/D/D14/D14-1114.pdf
"(Indyk and Motwani, 1998)",D14-1114,"To put it in more details, we use jaccard similarity for name shinglings and cosine similarity for domain and topic vector.","As query log induced intent topic graph is of considerable large size, the pair-wise similarity is computationally prohibitive, hence we use Local Sensitive Hash (Indyk and Motwani, 1998) for each similarity metric so as to compute ISim just in candidate set.","We use random hyperplane based hash family proposed in (Charikar, 2002) and set the hash code dimension and hash table numbers empirically to ensure the number of nodes falling into each bucket is relatively stable.",http://www.aclweb.org/anthology/D/D14/D14-1114.pdf
"(Charikar, 2002)",D14-1114,"As query log induced intent topic graph is of considerable large size, the pair-wise similarity is computationally prohibitive, hence we use Local Sensitive Hash (Indyk and Motwani, 1998) for each similarity metric so as to compute ISim just in candidate set.","We use random hyperplane based hash family proposed in (Charikar, 2002) and set the hash code dimension and hash table numbers empirically to ensure the number of nodes falling into each bucket is relatively stable.",3.2 Merging nodes,http://www.aclweb.org/anthology/D/D14/D14-1114.pdf
"(Ferragina and Scaiella, 2012)",D14-1114,We then move on to map queries to Freebase and empirically filter sessions that are less entity-centric.,"We use an annotation tool especially for short text (Ferragina and Scaiella, 2012) called Tagme3 to recognize entities and observe only 16% of all the queries are exactly an entity itself, which means most of queries do have refiner words to convey information need.","To ensure the precision of recognized entities, we set a significant threshold and bottom line threshold , queries should have at least one recognized entity with a likelihood above significant level, and those below bottom line are ignored.",http://www.aclweb.org/anthology/D/D14/D14-1114.pdf
[1979],J99-2001,"By ""local focus,"" we refer to the person, object, property, or concept that a sentence is most centrally about within the discourse context in which it occurs.","The appropriate movement and marking of local focus, and the appropriate choice of the form of a noun phrase (NP) based on local focus information, are considered to contribute to the local coherence exhibited by discourse (Sidner [1979], Grosz, Joshi, and Weinstein [1983, 1995], Carter [1987], and others).","In addition, local focus information is one source of information that is used by readers and hearers for interpreting pronouns.",http://www.aclweb.org/anthology/J/J99/J99-2001.pdf
"(Rabiner and Juang, 1993)",P05-1046,"where P, is the common word distribution, and  is","4While it may be surprising that disallowing reestimation of the transition function is helpful here, the same has been observed in acoustic modeling (Rabiner and Juang, 1993).",375,http://www.aclweb.org/anthology/P/P05/P05-1046.pdf
(2002),P05-1046,There has also been some previous work on unsupervised learning of field segmentation models in particular domains.,Pasula et al (2002) performs limited unsupervised segmentation of bibliographic citations as a small part of a larger probabilistic model of identity uncertainty.,"However, their system does not explicitly learn a field segmentation model for the citations, and encodes a large amount of hand-supplied information about name forms, abbreviation schemes, and so on.",http://www.aclweb.org/anthology/P/P05/P05-1046.pdf
(2001),P05-1046,Because the structure of the HMMs they learn is similar to ours it seems that their system could benefit from the techniques of this paper.,"Finally, Blei and Moreno (2001) use an HMM augmented by an aspect model to automatically segment documents, similar in goal to the system of Hearst (1997), but using techniques more similar to the present work.",7 Conclusions,http://www.aclweb.org/anthology/P/P05/P05-1046.pdf
"(Baker et al., 1998)",W15-1842,"We use hfst-pmatch (Linden et al., 2013), a pattern-matching tool mimicking and extending Xerox fst (Karttunen, 2011), for demonstrating how to develop a semantic frame extractor.","We select a FrameNet (Baker et al., 1998) frame and write shallowly syntactic pattern-matching rules based on part-of-speech information and morphology from either a morphological automaton or tagged text.",1 Introduction,http://www.aclweb.org/anthology/W/W15/W15-1842.pdf
"(Linden et al., 2013)",W15-1842,Abstract,"We use hfst-pmatch (Linden et al., 2013), a pattern-matching tool mimicking and extending Xerox fst (Karttunen, 2011), for demonstrating how to develop a semantic frame extractor.","We select a FrameNet (Baker et al., 1998) frame and write shallowly syntactic pattern-matching rules based on part-of-speech information and morphology from either a morphological automaton or tagged text.",http://www.aclweb.org/anthology/W/W15/W15-1842.pdf
