marker,article,context,provenance,link
1995,N04-1016,All methods use either the full set or a subset of 18 confusion sets originally gathered by Golding (1995).,Table 1 shows the performance of the baseline method for 18 confusion sets.,http://www.aclweb.org/anthology/N/N04/N04-1016.pdf
1995,N04-1016,"Most methods are trained and tested on Model Alta BNC Model Alta BNC f (t ) 72.98 70.00 f (w1 , t , w2 )/ f (t ) 87.77 76.33 f (w1 , t ) 84.40 83.02 f (w1 , w2 , t )/ f (t ) 86.27 74.47 f (t , w1 ) 84.89 82.74 f (t , w2 , w2 )/ f (t ) 84.94 74.23 f (w1 , t , w2 ) 89.24#*77.13 f (w1 , t , w2 )/ f (w1 , t ) 80.70 73.69 f (t , w1 , w2 ) 84.68 75.08 f (w1 , w2 , t )/ f (w2 , t ) 72.11 69.28 f (w1 , t )/ f (t ) 82.81 77.84 f (t , w1 , w2 )/ f (t , w1 ) 75.65 72.57 f (t , w1 )/ f (t ) 77.49 80.71# Table 5: Performance of Altavista counts and BNC counts for context sensitive spelling correction (data from Cucerzan and Yarowsky 2002) Model Accuracy Baseline BNC 70.00 Baseline Altavista 72.98 Best BNC 80.71 Golding (1995) 81.40 Jones and Martin (1997) 84.26 Best Altavista 89.24 Golding and Schabes (1996) 89.82 Mangu and Brill (1997) 92.79 Cucerzan and Yarowsky (2002) 92.20 Golding and Roth (1999) 94.23 Table 6: Performance comparison with the literature for context sensitive spelling correction the Brown corpus, using 80% for training and 20% for testing.3 We devised a simple, unsupervised method for performing spelling correction using web counts.","The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction. The performance figures given below are based on training each method on the 1-million-word Brown corpus [Kucera.",http://www.aclweb.org/anthology/N/N04/N04-1016.pdf
1995,N04-1016,"Table 6 shows 3 An exception is Golding (1995), who uses the entire Brown corpus for training (1M words) and 3/4 of the Wall Street Journal corpus (Marcus et al., 1993) for testing.","The performance figures given below are based on training each method on the 1-million-word Brown corpus [Kucera. and Francis, 1967] and testing it on a 3/4-million-word corpus of Wall Street Journal text [Marcus et al., 1993].",http://www.aclweb.org/anthology/N/N04/N04-1016.pdf
1995,N04-1016,"A comparison with the literature shows that the best Altavista model outperforms Golding (1995), Jones and Martin (1997) highest accuracy on the task is achieved by the class of multiplicative weight-update algorithms such as Winnow (Golding and Roth, 1999).","A method is presented for doing this, based on Bayesian classifiers.",http://www.aclweb.org/anthology/N/N04/N04-1016.pdf
1995,N10-1019,"The majority of the data-driven methods use a classification technique to determine whether a word is used appropriately in its context, continuing the tradition established for contextual spelling correction by Golding (1995) and Golding and Roth (1996).","Thus if C = {desert, dessert}, then when the spelling-correction program sees an occurrence of either desert or dessert in the target document, it takes it to be ambiguous between desert and dessert, and tries to infer from the context which of the two it should be.",http://www.aclweb.org/anthology/N/N10/N10-1019.pdf
"Golding, 1995",P01-1005,"The more recent set of techniques includes mult iplicative weight- update algorithms (Golding and Roth, 1998), latent semantic analysis (Jones and Martin, 1997), transformation- based learning (Mangu and Brill, 1997), differential grammars (Powers, 1997), decision lists (Yarowsky, 1994), and a variety of Bayesian classifiers (Gale et al., 1993, Golding, 1995, Golding and Schabes, 1996). In all of these approaches, the problem is formulated as follows: Given a specific confusion set (e.g. {to,two,too}), all occurrences of confusion set members in the test set are replaced by a marker; everywhere the system sees this marker, it must decide which member of the confusion set to choose.","A method is presented for doing this, based on Bayesian classifiers. The idea is to discriminate among the words Wi in the confusion set by identifying the collocations that tend to occur around each w;. An ambiguous target word is then classified by finding all collocations that match its context.",http://www.aclweb.org/anthology/P/P01/P01-1005.pdf
"Golding, 1995",P96-1010,"Feature-based approaches, such as Bayesian clas sifiers (Gale, Church, and Yarowsky, 1993), deci sion lists (Yarowsky, 1994), and Bayesian hybrids (Golding, 1995), have had varying degrees of suc cess for the problem of context-sensitive spelling correction.","A method for doing this, based on Bayesian classifiers, was presented. It was applied to the task of context-sensitive spelling correction, and was found to outperform the component methods as well as decision lists.",http://www.aclweb.org/anthology/P/P96/P96-1010.pdf
"Golding, 1995",P96-1010,"We consider an alternative method, Bayes, a Bayesian hybrid method (Golding, 1995), for the case where the words have the same part of speech.","Trigrams are at their worst when the words in the confusion set have the same part of speech. In such cases, the Bayesian hybrid method is clearly better.",http://www.aclweb.org/anthology/P/P96/P96-1010.pdf
"Golding, 1995",P96-1010,"A number of feature-based methods have been proposed, including Bayesian classifiers (Gale, Church, and Yarowsky, 1993), decision lists (Yarowsky, 1994), Bayesian hybrids (Golding, 1995), and, more recently, a method based on the Winnow multiplicative weight-updating algorithm (Golding and Roth, 1996).","\Ve try two ways of combining these components: decision lists, and Bayesian classifiers.",http://www.aclweb.org/anthology/P/P96/P96-1010.pdf
"Golding, 1995",P96-1010,"We adopt the Bayesian hybrid method This method has been described elsewhere (Golding, 1995)","A method is presented for doing this, based on Bayesian classifiers.",http://www.aclweb.org/anthology/P/P96/P96-1010.pdf
"Golding, 1995",P98-2138,"For English, a number of methods have been proposed to cope with real-word errors in spelling correction (Golding, 1995; Golding and Roth, 1996; Golding and Schabes, 1993; Tong and Evans, 1996).","The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction.",http://www.aclweb.org/anthology/P/P98/P98-2138.pdf
"Golding, 1995",P98-2138,"Following previous works (Golding, 1995; Meknavin et al., 1997), we have tried two types of features: context words and collocations.",\Ve then apply each of the two component methods mentioned above context words and collocations.,http://www.aclweb.org/anthology/P/P98/P98-2138.pdf
Gol95,W00-0701,"This general scheme has been used to de rive classifiers for a variety of natural lan guage applications including speech applica tions (Rab89), pos tagging (Kup92; Sch95), word-sense ambiguation (GCY93) and context sensitive spelling correction (Gol95).","A method is presented for doing this, based on Bayesian classifiers. The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction.",http://www.aclweb.org/anthology/W/W00/W00-0701.pdf
Gol95,W00-0701,"MBL, by using long and very specialized conjunctions (DBZ99) and decision lists, due to their functional form - a linear function with exponentially decreasing weights - at the cost of predicting with a single feature, rather than a combination (Gol95).","This paper takes Yarowsky's method as a starting point, and hypothesizes that further improvements can be obtained by taking into account not only the single strongest piece of evidence, but all the available evidence.",http://www.aclweb.org/anthology/W/W00/W00-0701.pdf
"Golding, 1995",W01-0502,"A partial list consists of Bayesian classifiers (Gale et al., 1993), decision lists (Yarowsky, 1994), Bayesian hybrids (Golding, 1995)","A method is presented for doing this, based on Bayesian classifiers.",http://www.aclweb.org/anthology/W/W01/W01-0502.pdf
"Golding, 1995",W02-1005,"Previous work has addressed the problem of CSSC from a machine learning perspective, including Bayesian and Decision List models (Golding, 1995)","The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction. \Ve try two ways of combining these components: decision lists, and Bayesian classifiers.",http://www.aclweb.org/anthology/W/W02/W02-1005.pdf
"Golding, 1995",W02-1005,"Previous work in WSD and CSSC (Golding, 1995; Bruce et al., 1996; Yarowsky, 1996; Golding and Roth, 1996; Pedersen, 1998) has found diverse feature types to be useful, including inflected words, lemmas and part-of-speech (POS) in a variety of collocational and syntactic relationships, including local bigrams and trigrams, Figure 2: Example context for the spelling confusion set {piece,peace} and extracted features","The second tests for collocations - patterns of words and part-of-speech tags around the target word. The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction.",http://www.aclweb.org/anthology/W/W02/W02-1005.pdf
1995,W02-1005,"For CSSC, we tested our system on the identical data from the Brown corpus used by Golding (1995)","The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction. The performance figures given below are based on training each method on the 1-million-word Brown corpus [Kucera.",http://www.aclweb.org/anthology/W/W02/W02-1005.pdf
"Golding, 1995",W04-3238,"A different body of work (e.g. Golding, 1995; Golding and Roth, 1996; Mangu and Brill, 1997) focused on resolving a limited number of cognitive substitution errors, in the framework of context sensitive spelling correction (CSSC).","The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction.",http://www.aclweb.org/anthology/W/W04/W04-3238.pdf
"Golding, 1995",W06-1624,"We use the metric described in (Yarowsky, 1994; Golding, 1995).",Yarowsky [1994] used the following metric to calculate the strength of a feature f: reliability(!),http://www.aclweb.org/anthology/W/W06/W06-1624.pdf
"Golding, 1995",W06-3604,"More generally, as a precursor to the above- mentioned work, confusable disambiguation has been investigated in a string of papers discussing the application of various machine learning algorithms to the task (Yarowsky, 1994; Golding, 1995;",\Ve treat context-sensitive spelling correction as a task of word disambiguation.,http://www.aclweb.org/anthology/W/W06/W06-3604.pdf
"Golding, 1995",W09-1007,"This approach is similar to approaches used in accent restoration (Yarowsky, 1994; Golding, 1995;","The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction.",http://www.aclweb.org/anthology/W/W09/W09-1007.pdf
"Golding, 1995",W12-0304,"There are also other studies (Yarowsky, 1994; Golding, 1995 or Golding and Roth, 1996) that report the application of decision lists and Bayesian classifiers for spell checking; however, these models cannot be applied to grammar error detection.","The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction. \Ve try two ways of combining these components: decision lists, and Bayesian classifiers.",http://www.aclweb.org/anthology/W/W12/W12-0304.pdf
1995,W96-0108,Golding [1995] has applied a hybrid Bayesian method for real-word error correction and Golding and Schabes [1996] have combined a POS trigram and Bayesian methods for the same purpose.,"The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction. \Ve try two ways of combining these components: decision lists, and Bayesian classifiers.",http://www.aclweb.org/anthology/W/W96/W96-0108.pdf
3,W98-1234,"Our module used for spelling correction was developed on the basis of works by Brill [1], Brill and Marcus [2), Golding [3), Golding and Schabes [4], and Powers [5).","The work reported here was applied not to accent restoration, but to a related lexical disam biguation task: context-sensitive spelling correction.",http://www.aclweb.org/anthology/W/W98/W98-1234.pdf
"Tillman, 2000",E06-1004," Conditional Probability Given the model parameters and a sentence pair (f , e), compute P (f |e). 1997), (Tillman, 2000), (Och et al., 2001), (Germann et al., 2003), (Udupa et al., 2004).","We are given a source string fJ 1 = f1:::fj :::fJ of length J, which is to be translated into a target string eI 1 = e1:::ei:::eI of length I. Among all possible target strings, we will choose the string with the highest probability",http://www.aclweb.org/anthology/E/E06/E06-1004.pdf
2000,J03-1005,This article will present a DP-based beam search decoder for the IBM4 translation model. A preliminary version of the work presented here was published in Tillmann and Ney (2000).,We apply a beam search concept as in speech recognition.,http://www.aclweb.org/anthology/J/J03/J03-1005.pdf
Tillmann and Ney 2000,J04-2003,"Many existing systems for statistical machine translation 1 1 (Garca-Varea and Casacuberta 2001; Germann et al 2001; Nieen et al 1998; Och, Tillmann, and Ney 1999) implement models presented by Brown, Della Pietra, Della Pietra, and Mercer (1993): The correspondence between the words in the source and the target strings is described by alignments that assign target word positions to each source word position.","For the translation model Pr(fJ 1 jeI 1), we go on the assumption that each source word is aligned to exactly one target word.",http://www.aclweb.org/anthology/J/J04/J04-2003.pdf
Tillmann and Ney 2000,J04-2003,Some recent publications deal with the automatic detection of multiword phrases (Och and Weber 1998; Tillmann and Ney 2000).,"(1), Pr(eI 1) is the language model, which is a trigram language model in this case.",http://www.aclweb.org/anthology/J/J04/J04-2003.pdf
Tillmann and Ney 2000,J04-4002,We call this selection of highly probable words observation pruning (Tillmann and Ney 2000).,"For our demonstration system, we typically use the pruning threshold t0 = 5:0 to speed up the search by a factor 5 while allowing for a small degradation in translation accuracy.",http://www.aclweb.org/anthology/J/J04/J04-4002.pdf
"Tillmann and Ney, 2000",N03-1010,"Och et al report word error rates of 68.68% for optimal search (based on a variant of the A* algorithm), and 69.65% for the most restricted version of a decoder that combines dynamic programming with a beam search (Tillmann and Ney, 2000).",A dynamic programming recursion similar to the one in Eq. 2 is evaluated. We apply a beam search concept as in speech recognition.,http://www.aclweb.org/anthology/N/N03/N03-1010.pdf
"Tillmann and Ney, 2000",P01-1027,"We use the top-10 list of hypothesis provided by the translation system described in (Tillmann and Ney, 2000) for rescoring the hypothesis using the ME models and sort them according to the new maximum entropy score.","For each source word f, the list of its possible translations e is sorted according to p(fje) puni(e), where puni(e) is the unigram probability of the English word e. It is sucient to consider only the best 50 words.",http://www.aclweb.org/anthology/P/P01/P01-1027.pdf
"Tillmann and Ney, 2000",P03-1039,"The decoding algorithm employed for this chunk + weight  j f req(EA j , J j ) based statistical translation is based on the beam search algorithm for word alignment statistical in which Ptm(J|E) and Plm (E) are translationmodel and language model probability, respec translation presented in (Tillmann and Ney, 2000), tively1 , f req(EA j , J j ) is the frequency for the which generates outputs in left-to-right order by consuming input in an arbitrary order.",We apply a beam search concept as in speech recognition.,http://www.aclweb.org/anthology/P/P03/P03-1039.pdf
"Tillman and Ney, 2000",P03-1039,"The generation of possible output chunks is estimated through an inverted lexicon model and sequences of inserted strings (Tillmann and Ney, 2000).","The type of alignment we have considered so far requires the same length for source and target sentence, i.e. I = J. Evidently, this is an unrealistic assumption, therefore we extend the concept of inverted alignments as follows: When adding a new position to the coverage set C, we might generate either  = 0 or  = 1 new target words.",http://www.aclweb.org/anthology/P/P03/P03-1039.pdf
"Tillmann and Ney, 2000",W01-0505,"They were usually incorporated in the EM algorithm (Brown et al., 1993; Kupiec, 1993; Tillmann and Ney, 2000; Och et al., 2000).",What is important and is not expressed by the notation is the so-called coverage constraint: each source position j should be 'hit' exactly once by the path of the inverted alignment bI 1 = b1:::bi:::bI . Using the inverted alignments in the maximum approximation,http://www.aclweb.org/anthology/W/W01/W01-0505.pdf
"Tillmann and Ney, 2000",W01-1404,"Some of these studies have concentrated on finite-state or extended finite-state machinery, such as (Vilar and others, 1999), others have chosen models closer to context-free grammars and context-free transduction, such as (Alshawi et al., 2000; Watanabe et al., 2000; Yamamoto and Matsumoto, 2000), and yet other studies cannot be comfortably assigned to either of these two frameworks, such as (Brown and others, 1990) and (Tillmann and Ney, 2000).",This measure has the advantage of being completely automatic.,http://www.aclweb.org/anthology/W/W01/W01-1404.pdf
"Tillmann and Ney, 2000",W01-1407,"We used a translation system called single- word based approach described in (Tillmann and Ney, 2000) and compared to other approaches in (Ney et al., 2000).","For each source word f, the list of its possible translations e is sorted according to p(fje) puni(e), where puni(e) is the unigram probability of the English word e. It is sucient to consider only the best 50 words.",http://www.aclweb.org/anthology/W/W01/W01-1407.pdf
"Tillmann, 2001; Tillmann and Ney, 2000",W01-1408,"Search algorithms We evaluate the following two search algorithms:  beam search algorithm (BS): (Tillmann, 2001; Tillmann and Ney, 2000) In this algorithm the search space is explored in a breadth-first manner.",We apply a beam search concept as in speech recognition.,http://www.aclweb.org/anthology/W/W01/W01-1408.pdf
"Tillmann and Ney, 2000",W02-1020,"It is faster because the search problem for noisy- channel models is NP-complete (Knight, 1999), and even the fastest dynamic-programming heuristics used in statistical MT (Niessen et al., 1998; Till- mann and Ney, 2000), are polynomial in J for in p(v1, w2 , wm1, um|h, s) = stance O(mJ 4V 3) in (Tillmann and Ney, 2000).","In this paper, we describe a search procedure for statistical machine translation (MT) based on dynamic programming (DP).",http://www.aclweb.org/anthology/W/W02/W02-1020.pdf
"Shao and Ng, 2004",D10-1042,"Using parallel corpora (Kupiec, 1993; Feng et al., 2004), e.g., bilingual Wikipedia entries on the same person, renders high accuracy but suffers from high scarcity. To alleviate such scarcity, (Fung and Yee, 1998; Shao and Ng, 2004) explore a more vast resource of comparable corpora, which share no parallel document- or sentence-alignments as in parallel corpora but describe similar contents in two languages, e.g., news articles on the same event.","Comparable corpora refer to texts that are not direct translation but are about the same topic. For example, various news agencies report major world events in different languages, and such news documents form a readily available source of comparable corpora.",http://www.aclweb.org/anthology/D/D10/D10-1042.pdf
2004,D12-1003,"Various correlation measures have been used: log-likelihood ratio (Rapp, 1999; Chiao and Zweigenbaum, 2002), tfidf (Fung and Yee, 1998), pointwise mutual information (PMI) (Andrade et al., 2010), context heterogeneity (Fung, 1995), etc. Shao and Ng (2004) represented contexts using language models.","We employ the language modeling approach (Ng, 2000; Ponte and Croft, 1998) for corresponding to that document translation of c . C (e* ) is the this retrieval problem.",http://www.aclweb.org/anthology/D/D12/D12-1003.pdf
"Shao and Ng, 2004",D12-1003,"Various clues have been considered when computing the similarities: concept class information obtained from a multilingual thesaurus (Dejean et al., 2002), co-occurrence models generated from aligned documents (Prochasson and Fung, 2011), and transliteration information (Shao and Ng, 2004).","In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.",http://www.aclweb.org/anthology/D/D12/D12-1003.pdf
"Shao and Ng, 2004",N09-1048,"The other is multilingual parallel and comparable corpora (e.g., Wikipedia1), wherein features such as co- occurrence frequency and context are popularly employed (Cheng et al., 2004; Shao and Ng, 2004; Cao et al., 2007; Lin et al., 2008).","In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.",http://www.aclweb.org/anthology/N/N09/N09-1048.pdf
2004,N09-1048,"Shao and Ng (2004) presented a method to mine new translations from Chinese and English news documents of the same period from different news agencies, combining both transliteration and context information.","In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.",http://www.aclweb.org/anthology/N/N09/N09-1048.pdf
"Shao and Ng, 2004",P06-1011,"Much of the work involving comparable corpora has focused on extracting word translations (Fung and Yee, 1998; Rapp, 1999; Diab and Finch, 2000; Koehn and Knight, 2000; Gaussier et al., 2004; Shao and Ng, 2004; Shinyama and Sekine, 2004).","In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.",http://www.aclweb.org/anthology/P/P06/P06-1011.pdf
"Shao and Ng, 2004",P13-1059,"Some recent research used comparable corpora to mine name translation pairs (Feng et al., 2004; Kutsumi et al., 2004; Udupa et al., 2009; Ji, 2009; Fung and Yee, 1998; Rapp, 1999; Shao and Ng, 2004; Lu and Zhao, 2006; Hassan et al., 2007).","We used a list of 1,580 ChineseEnglish name pairs as training data for the EM algorithm.",http://www.aclweb.org/anthology/P/P13/P13-1059.pdf
2004,P13-1062,"Evaluation E C We processed news articles for an entire year in tion of maximum bipartite matching (West, 1999) on a bipartite graph GB = (VB = (Si , Sj ), EB ) 2008 by Xinhua news who publishes news in E C both English and Chinese, which were also used with edge weights that are defined by TS . The maximum bipartite matching finds a subset of by Kim et al (2011) and Shao and Ng (2004).","So we use the the context of c , we are likely to retrieve the context of e when we use the context of c as query C(c) to retrieve a document C (e* ) that * the query and try to retrieve the most similar best matches the query.",http://www.aclweb.org/anthology/P/P13/P13-1062.pdf
"Shao and Ng, 2004",P13-1107,"Other similar research lines are the TACKBP Entity Linking (EL) (Ji et al., 2010; Ji et al., 2011), which links a named entity in news and web documents to an appropriate knowledge base (KB) entry, the task of mining name translation pairs from comparable corpora (Udupa et al., 2009; Ji, 2009; Fung and Yee, 1998; Rapp, 1999; Shao and Ng, 2004; Hassan et al., 2007) and the link prediction problem (Adamic and Adar, 2001; LibenNowell and Kleinberg, 2003; Sun et al., 2011b; Hasan et al., 2006; Wang et al., 2007; Sun et al., 2011a).","In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.",http://www.aclweb.org/anthology/P/P13/P13-1107.pdf
"Shao and Ng, 2004",P13-2036,"Recently, holistic approaches combining such similarities have been studied (Shao and Ng, 2004; You et al., 2010; Kim et al., 2011).","In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.",http://www.aclweb.org/anthology/P/P13/P13-2036.pdf
"Shao and Ng, 2004",P13-2036,"(Shao and Ng, 2004) rank translation candidates using PH and CX independently and return results with the highest average rank.","Finally, the English candidate word with the smallest average rank position and that appears within the top M positions of both ranked lists is the chosen English translation (as described in Section 2).",http://www.aclweb.org/anthology/P/P13/P13-2036.pdf
"Shao and Ng, 2004",W11-1215,"Some recent research used comparable corpora to re-score name transliterations (Sproat et al., 2006; Klementiev and Roth, 2006) or mine new word translations (Fung and Yee, 1998; Rapp, 1999; Shao and Ng, 2004; Tao and Zhai, 2005; Hassan et al., 2007; Udupa et al., 2009; Ji, 2009).","In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.",http://www.aclweb.org/anthology/W/W11/W11-1215.pdf
"Shao and Ng, 2004",W11-2206,"Some recent research used comparable corpora to re-score name transliterations (Sproat et al., 2006; Klementiev and Roth, 2006) or mine new word translations (Udupa et al., 2009; Ji, 2009; Fung and Yee, 1998; Rapp, 1999; Shao and Ng, 2004; Hassan et al., 2007).","In this paper, we propose a new approach for the task of mining new word translations from comparable corpora, by combining both context and transliteration information.",http://www.aclweb.org/anthology/W/W11/W11-2206.pdf
"Shao and Ng, 2004",W13-2501,"The traditional approch to translation extraction from comparable corpora and most of its extensions (Fung, 1998; Rapp, 1999; Shao and Ng, 2004; Otero, 2007; Yu and Tsujii, 2009; Marsi and Krahmer, 2010) presuppose the availability of a bilingual lexicon for translating source vectors into the target language.","In order for a machine translation system to translate these new words correctly, its bilingual lexicon needs to be constantly updated with new word translations.",http://www.aclweb.org/anthology/W/W13/W13-2501.pdf
"Shao and Ng, 2004",W13-2512,"Hybrid methods exploit that a term or a named entity can be translated in various ways across languages (Shao and Ng, 2004; Feng et al., 2004; Lu and Zhao, 2006).","To investigate the effect of the two individual sources of information (context and transliteration), we checked how many translations could be found using only one source of information (i.e., context alone or transliteration alone), on those Chinese words that have translations in the English part of the comparable corpus.",http://www.aclweb.org/anthology/W/W13/W13-2512.pdf
"Sekine, 2005",D12-1094,"Data-driven paraphrase discovery methods (Lin and Pantel, 2001; Pasca and Dienes, 2005; Wu and Zhou, 2003; Sekine, 2005) extends the idea of distributional similarity to phrases.","In this paper, we will propose an unsupervised method to discover paraphrases from a large untagged corpus.",http://www.aclweb.org/anthology/D/D12/D12-1094.pdf
"Sekine, 2005",E09-1025,"A number of automatically acquired inference rule/paraphrase collections are available, such as (Szpektor et al., 2004), (Sekine, 2005).","In this paper, we will propose an unsupervised method to discover paraphrases from a large untagged corpus. The NE tagger is a rule-based system with 140 NE categories [Sekine et al 2004].",http://www.aclweb.org/anthology/E/E09/E09-1025.pdf
2005,J10-3003,"As a later renement, Sekine (2005) makes a similar attempt at using distributional similarity over named entity pairs in order to produce a list of fully lexicalized phrasal paraphrases for specic concepts represented by keywords.",Here a set is represented by the keyword and the number in parentheses indicates the number of shared NE pair instances. Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].,http://www.aclweb.org/anthology/J/J10/J10-3003.pdf
Sekine 2005,J12-1003,This has led to active research on broad-scale acquisition of entailment rules for predicates (Lin and Pantel 2001; Sekine 2005; Szpektor and Dagan 2008; Yates and Etzioni 2009; Schoenmackers et al 2010).,Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs,http://www.aclweb.org/anthology/J/J12/J12-1003.pdf
Sekine 05,P06-2094,We also proposed a method to find paraphrases in the context of two Named Entity instances in a large un-annotated corpus (Sekine 05).,"For each pair we also record the context, i.e. the phrase between the two NEs (Step1). Next, for each pair of NE categories, we collect all the contexts and find the keywords which are topical for that NE category pair.",http://www.aclweb.org/anthology/P/P06/P06-2094.pdf
"Sekine, 2005",P07-1058,"Some existing entailment acquisition algorithms can add contextual constraints to the learned rules (Sekine, 2005), but most dont.","Extract NE instance pairs with contexts First, we extract NE pair instances with their context from the corpus.",http://www.aclweb.org/anthology/P/P07/P07-1058.pdf
"Sekine, 2005",P07-1058,"Many methods for automatic acquisition of rules have been suggested in recent years, ranging from distributional similarity to finding shared contexts (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Barzilay and Lee, 2003; Szpektor et al., 2004; Sekine, 2005).","Extract NE instance pairs with contexts First, we extract NE pair instances with their context from the corpus.",http://www.aclweb.org/anthology/P/P07/P07-1058.pdf
"Sekine, 2005",P07-1058,"Indeed, the prominent approach for evaluating the quality of rule acquisition algorithms is by human judgment of the learned rules (Lin and Pantel, 2001; Shinyama et al., 2002; Barzilay and Lee, 2003; Pang et al., 2003; Szpektor et al., 2004; Sekine, 2005).","Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks. In order to create an IE system for a new domain, one has to spend a long time to create the knowledge.",http://www.aclweb.org/anthology/P/P07/P07-1058.pdf
"Sekine, 2005",P08-1078,"Recently, several algorithms were proposed for automatically learning entailment rules and paraphrases (viewed as bidirectional entailment rules) (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Szpektor et al., 2004; Sekine, 2005).",Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs,http://www.aclweb.org/anthology/P/P08/P08-1078.pdf
"Sekine, 2005",P09-2063,"Similarly, (Sekine, 2005) improved information retrieval based on pattern recognition by introducing paraphrase generation.","In this paper, we will propose an unsupervised method to discover paraphrases from a large untagged corpus. We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.",http://www.aclweb.org/anthology/P/P09/P09-2063.pdf
"Sekine, 2005",P10-1124,"This has led to active research on broad-scale acquisition of entailment rules for predicates, e.g. (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008).",Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs,http://www.aclweb.org/anthology/P/P10/P10-1124.pdf
"Sekine, 2005",P11-1062,"Thus, acquisition of such knowledge received considerable attention in the last decade (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2009; Schoenmackers et al., 2010).",Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs,http://www.aclweb.org/anthology/P/P11/P11-1062.pdf
2005,P11-1109,We agree with Sekine (2005) who claims that several different methods are required to discover a wider variety of paraphrases.,Rather we believe several methods have to be developed using different heuristics to discover wider variety of paraphrases.,http://www.aclweb.org/anthology/P/P11/P11-1109.pdf
"Sekine, 2005",P12-1013,"Consequently, sub stantial effort has been made to learn such rules (Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008; Schoenmackers et al., 2010).",There have been other kinds of efforts to discover paraphrase automatically from corpora.,http://www.aclweb.org/anthology/P/P12/P12-1013.pdf
"Sekine, 2005",P12-2031,"The significance of inference rules has led to substantial effort into developing algorithms that automatically learn inference rules (Lin and Pantel, 2001; Sekine, 2005; Schoenmackers et al., 2010), and generate knowledge resources for inference systems.",There have been other kinds of efforts to discover paraphrase automatically from corpora.,http://www.aclweb.org/anthology/P/P12/P12-2031.pdf
"Sekine, 2005",P12-2031,"Some attempts were made to let annotators judge rule correctness directly, that is by asking them to judge the correctness of a given rule (Shinyama et al., 2002; Sekine, 2005).","Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks.",http://www.aclweb.org/anthology/P/P12/P12-2031.pdf
2005,P13-1131,"Following Sekine (2005), we clustered templates that share their main verb predicate in order to scale down the number of different predicates in the corpus and collect richer word co- occurrence statistics per predicate.","Cluster phrases based on Links We now have a set of phrases which share a keyword. At this step, we will try to link those sets, and put them into a single cluster.",http://www.aclweb.org/anthology/P/P13/P13-1131.pdf
"Sekine, 2005",W12-4006,"Some existing paraphrase and entailment acquisition algorithms add constraints to the learned rules (e.g. (Sekine, 2005), (CallisonBurch, 2008)), but most do not.","Hereafter, each pair of NE categories will be called a domain; e.g. the Company  Company domain, which we will call CC- domain (Step 2). For each domain, phrases which contain the same keyword are gathered to build a set of phrases (Step 3).",http://www.aclweb.org/anthology/W/W12/W12-4006.pdf
"Sekine, 2005",W12-4006,"As for paraphrase, Sekines Paraphrase Database (Sekine, 2005) is collected using an unsupervised method, and focuses on phrases connecting two Named Entities.","In this paper, we will propose an unsupervised method to discover paraphrases from a large untagged corpus.We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.",http://www.aclweb.org/anthology/W/W12/W12-4006.pdf
